lines,lines_name
1035. ,OVI
1173.9,CIII
1205.9,SiIII
1215.67, Lya
1240. ,NV
1336. ,CII
1400. ,SiIV
1406. ,[OIV]
1493.6,FeIII
1550. ,CIV
1640. ,HeII
1663. ,OIII]
1750  ,NIII]
1857  ,AlIII,
1900. ,CIII]+SiIII]
2185  ,FeII
2327. ,CII]
2424. ,[NeIV]
2426. ,[NeIV]
2470. ,[OII]
2512. ,HeII,[MgVII]
2799  ,MgII
3133. ,OIII
3203. ,HeII
3299. ,OIII
3312. ,OIII
3341. ,OIII
3343. ,[NeIII]
3346. ,[NeV]
3412. ,OIV
3426. ,[NeV]
3726.2,[OII]
3728.9,[OII]
3749.5,FeI
3868.7,[NeIII]
4026. ,HeI
4101.7,Hdelta
4340.5,Hgamma
4363.0,[OIII]
4471. ,HeI
4541. ,HeII
4686. ,HeII
4725. ,[NeIV]
4740. ,[ArIV]
4861.3,Hbeta
4959. ,[OIII]
5007. ,[OIII]
5411. ,HeII
5875.6,HeI
6300.3,[OI]
6311. ,[SIII]+HeII
6363. ,[OI]
6548.1,[NII]
6562.8,Halpha
6583. ,[NII]
6717. ,[SII]
6731. ,[SII]
7135. ,[ArIII]
8237. ,HeII
9069. ,[SIII]
9545. ,[SIII]
10120.,HeII
